year,vegetable,group,harvest_t,source_file,source_cell,source_symbol
1999,ねぎ,葉茎菜類,532400,leaves.xls,CO34,
1999,なす,果菜類,473300,fruits.xls,O34,
1999,ほうれんそう,葉茎菜類,329000,leaves.xls,AG34,
1999,ブロッコリー,葉茎菜類,83600,leaves.xls,BN34,
1999,ピーマン,果菜類,165100,fruits.xls,AV34,
1999,さといも,根菜類,247700,roots.xls,AS34,
2000,ばれいしょ,根菜類,2898000,roots.xls,AJ35,
2000,キャベツ,葉茎菜類,1449000,leaves.xls,R35,
2000,たまねぎ,葉茎菜類,1247000,leaves.xls,DG35,
2000,だいこん,根菜類,1876000,roots.xls,C35,
2000,はくさい,葉茎菜類,1036000,leaves.xls,C35,
2000,トマト,果菜類,806300,fruits.xls,X35,
2000,レタス,葉茎菜類,537200,leaves.xls,BQ35,
2000,にんじん,根菜類,681700,roots.xls,R35,
2000,きゅうり,果菜類,766500,fruits.xls,C35,
2000,ねぎ,葉茎菜類,536700,leaves.xls,CO35,
2000,なす,果菜類,476900,fruits.xls,O35,
2000,ほうれんそう,葉茎菜類,316400,leaves.xls,AG35,
2000,ブロッコリー,葉茎菜類,82900,leaves.xls,BN35,
2000,ピーマン,果菜類,171400,fruits.xls,AV35,
2000,さといも,根菜類,230500,roots.xls,AS35,
2001,ばれいしょ,根菜類,2959000,roots.xls,AJ36,
2001,キャベツ,葉茎菜類,1435000,leaves.xls,R36,
2001,たまねぎ,葉茎菜類,1259000,leaves.xls,DG36,
2001,だいこん,根菜類,1868000,roots.xls,C36,
2001,はくさい,葉茎菜類,1038000,leaves.xls,C36,
2001,トマト,果菜類,797800,fruits.xls,X36,
2001,レタス,葉茎菜類,554200,leaves.xls,BQ36,
2001,にんじん,根菜類,691300,roots.xls,R36,
2001,きゅうり,果菜類,735500,fruits.xls,C36,
2001,ねぎ,葉茎菜類,526800,leaves.xls,CO36,
2001,なす,果菜類,448000,fruits.xls,O36,
2001,ほうれんそう,葉茎菜類,319300,leaves.xls,AG36,
2001,ブロッコリー,葉茎菜類,89200,leaves.xls,BN36,
2001,ピーマン,果菜類,159400,fruits.xls,AV36,
2001,さといも,根菜類,217800,roots.xls,AS36,
2002,ばれいしょ,根菜類,3074000,roots.xls,AJ37,
2002,キャベツ,葉茎菜類,1392000,leaves.xls,R37,
2002,たまねぎ,葉茎菜類,1274000,leaves.xls,DG37,
2002,だいこん,根菜類,1780000,roots.xls,C37,
2002,はくさい,葉茎菜類,1005000,leaves.xls,C37,
2002,トマト,果菜類,784900,fruits.xls,X37,
2002,レタス,葉茎菜類,561600,leaves.xls,BQ37,
2002,にんじん,根菜類,643700,roots.xls,R37,
2002,きゅうり,果菜類,729200,fruits.xls,C37,
2002,ねぎ,葉茎菜類,518700,leaves.xls,CO37,
2002,なす,果菜類,432300,fruits.xls,O37,
2002,ほうれんそう,葉茎菜類,311800,leaves.xls,AG37,
2002,ブロッコリー,葉茎菜類,94200,leaves.xls,BN37,
2002,ピーマン,果菜類,161000,fruits.xls,AV37,
2002,さといも,根菜類,208900,roots.xls,AS37,
2003,ばれいしょ,根菜類,2939000,roots.xls,AJ38,
2003,キャベツ,葉茎菜類,1376000,leaves.xls,R38,
2003,たまねぎ,葉茎菜類,1172000,leaves.xls,DG38,
2003,だいこん,根菜類,1752000,roots.xls,C38,
2003,はくさい,葉茎菜類,964500,leaves.xls,C38,
2003,トマト,果菜類,759900,fruits.xls,X38,
2003,レタス,葉茎菜類,548600,leaves.xls,BQ38,
2003,にんじん,根菜類,658900,roots.xls,R38,
2003,きゅうり,果菜類,684100,fruits.xls,C38,
2003,ねぎ,葉茎菜類,514600,leaves.xls,CO38,
2003,なす,果菜類,395800,fruits.xls,O38,
2003,ほうれんそう,葉茎菜類,311800,leaves.xls,AG38,
2003,ブロッコリー,葉茎菜類,107500,leaves.xls,BN38,
2003,ピーマン,果菜類,151500,fruits.xls,AV38,
